equipo,total_partidos,total_victorias,winrate,accuracy_modelo,avg_acs,avg_kd,avg_kills
Spot Up,3.0,3.0,100.0,100.0,,,
Swag Silicone,3.0,2.0,66.67,100.0,,,
TYLOO,3.0,3.0,100.0,66.67,,,
Take It Easy,3.0,3.0,100.0,100.0,,,
TauCeti,3.0,2.0,66.67,100.0,,,
Team 600,3.0,2.0,66.67,100.0,,,
Team Exploit,3.0,3.0,100.0,100.0,,,
Team Heretics,8.0,4.0,50.0,87.5,,,
Team Inv,3.0,1.0,33.33,100.0,,,
Team Majesty,4.0,4.0,100.0,100.0,,,
Team Mystic,5.0,2.0,40.0,100.0,,,
Team RA'AD,4.0,3.0,75.0,75.0,,,
Team Rocket,4.0,2.0,50.0,100.0,,,
Team Sampi,6.0,4.0,66.67,100.0,,,
Team Sync,4.0,2.0,50.0,100.0,,,
Team T5,5.0,3.0,60.0,100.0,,,
The Meaps,3.0,2.0,66.67,66.67,,,
Time In,5.0,4.0,80.0,60.0,,,
TooManyQuestions,3.0,3.0,100.0,100.0,,,
Tuwaiq Esports Club,3.0,1.0,33.33,100.0,,,
Typhoon,3.0,2.0,66.67,100.0,,,
UCAM Esports Club,3.0,2.0,66.67,100.0,,,
VICTORY,4.0,0.0,0.0,100.0,,,
Valkyrie,6.0,1.0,16.67,100.0,,,
Velocity Gaming,5.0,4.0,80.0,100.0,,,
Velox,3.0,2.0,66.67,100.0,,,
Vengeance,3.0,1.0,33.33,66.67,,,
Version1,5.0,2.0,40.0,80.0,,,
Vision Strikers,9.0,6.0,66.67,100.0,,,
Walküre,3.0,1.0,33.33,100.0,,,
Warriors Esports,4.0,3.0,75.0,100.0,,,
Wave Esports,5.0,4.0,80.0,100.0,,,
Wolves Esports,4.0,2.0,50.0,100.0,,,
XSET,7.0,4.0,57.14,100.0,,,
XcN Gaming,3.0,1.0,33.33,100.0,,,
Xtardust,3.0,1.0,33.33,100.0,,,
YAMAGAN,3.0,2.0,66.67,100.0,,,
YONK,3.0,2.0,66.67,100.0,,,
Yakuza,3.0,1.0,33.33,100.0,,,
Yang Terxakiti,3.0,0.0,0.0,100.0,,,
You Guys Get Paid?,3.0,1.0,33.33,100.0,,,
Z11,3.0,0.0,0.0,100.0,,,
ZETA DIVISION,6.0,3.0,50.0,100.0,,,
ZFGaming,6.0,5.0,83.33,83.33,,,
Zero MarksMen Black,6.0,3.0,50.0,100.0,,,
beastcoast,3.0,2.0,66.67,66.67,,,
bref,4.0,2.0,50.0,100.0,,,
eSuba,3.0,1.0,33.33,100.0,,,
ex-EXO Clan,3.0,3.0,100.0,100.0,,,
ez5,3.0,2.0,66.67,100.0,,,
feelmyhack,4.0,2.0,50.0,100.0,,,
forZe,6.0,5.0,83.33,100.0,,,
iPon Esport,8.0,6.0,75.0,100.0,,,
tyeasy,9.0,4.0,44.44,77.78,,,
v0rteX 5,3.0,0.0,0.0,100.0,,,
volvo peek,4.0,3.0,75.0,100.0,,,
İstanbul Wildcats,10.0,3.0,30.0,90.0,,,
świeca,3.0,1.0,33.33,66.67,,,
